threads_files,time
1,65270.42
2,38028.28
3,32962.82
4,31975.44
5,31579.96
6,32136.32
7,32438.82
8,32667.4
9,33160.06
10,33125.18
11,34504.4
12,34194.66
13,35609.14
14,37801.8
15,39731.42
16,41565.02
17,43208.84
18,43191.34
19,43942.14
20,44417.92
21,45932.56
22,50489.9
23,51106.24
24,49044.78
25,50640.94
26,52674.5
27,52596.4
28,52958.18
29,53674.76
30,53830.92
31,59099.74
32,56519.22
33,59098.28
34,58184.82
35,59002.8
36,57639.64
37,56170.64
38,59528.02
39,60055.24
40,54364.8
41,59492.48
42,71149.94
43,55597.34
44,55376.1
45,59102.76
46,58287.58
47,55650.86
48,59383.82
49,56211.88
50,59258.14
51,58243.6
52,57926.76
53,61953.4
54,60747.26
55,62835.08
56,60174.08
57,62506.14
58,64389.86
59,62056.32
60,57265.36
61,64474.86
62,61461.86
63,62320.92
64,61740.82
65,59945.52
66,59620.54
67,63104.34
68,64322.9
69,58052.98
70,62655.8
71,57915.84
72,64796.62
73,58013.02
74,65470.48
75,63791.46
76,64924.32
77,62188.02
78,64100.26
79,60209.94
80,65076.62
81,61873.02
82,60349.22
83,62784.18
84,62956.14
85,63496.82
86,60951.9
87,59900.74
88,59918.32
89,62568.38
90,64842.94
91,60868.56
92,63497.78
93,64292.12
94,61337.92
95,62790.98
96,64111.48
97,61761.14
98,61575.74
99,64158.1
100,63037.14
