threads_files,time
1,74293.0
2,37277.75
3,26466.5
4,21560.35
5,17826.6
6,16765.95
7,16285.05
8,17398.15
9,17137.8
10,17438.1
11,17131.8
12,18140.05
13,17263.35
14,17556.7
15,17798.15
16,18411.4
17,18242.7
18,17794.4
19,18838.35
20,18296.2
21,19913.7
22,18461.65
23,19354.5
24,20795.25
25,20165.65
26,20543.25
27,20011.1
28,21276.1
29,19781.95
30,19651.35
31,18938.75
32,20648.95
33,20063.0
34,19934.2
35,20033.1
36,20566.8
37,20671.55
38,19646.8
39,21711.05
40,22012.0
41,20744.95
42,20721.95
43,21502.45
44,21146.95
45,22977.25
46,21883.8
47,24628.1
48,26458.1
49,22137.45
50,22604.55
